date,brand,albanese,dutton,unknown
13-Aug-23,Resolve,46,25,29
15-Jul-23,Resolve,51,21,28
15-Jul-23,Newspoll,54,29,17
24-Jun-23,Newspoll,52,32,16
11-Jun-23,Resolve,53,22,25
03-Jun-23,Newspoll,55,28,17
17-May-23,Freshwater,51,33,14
22-Apr-23,Newspoll,54,28,18
16-Apr-23,Resolve,55,21,24
02-Apr-23,Newspoll,58,26,16
16-Mar-23,Resolve,51,21,28
04-Mar-23,Newspoll,54,28,18
02-Feb-23,Newspoll,56,26,18
22-Jan-23,Resolve,55,20,25
04-Dec-22,Resolve,54,19,17
03-Dec-22,Newspoll,59,24,17
30-Oct-22,Resolve,53,19,28
30-Oct-22,Newspoll,54,27,19
09-Oct-22,Resolve,53,18,29
18-Sep-22,Resolve,53,19,28
03-Sep-22,Newspoll,61,22,17
21-Aug-22,Resolve,55,17,28
30-Jul-22,Newspoll,59,25,16